date,market,commodity,price
2005-11-15,Nur-Sultan,Potatoes,40.0
2005-11-15,Nur-Sultan,Meat (beef),403.0
2005-11-15,Nur-Sultan,Oil (sunflower),184.0
2005-11-15,Almaty,Potatoes,49.0
2005-11-15,Almaty,Meat (beef),413.0
2005-11-15,Almaty,Milk,66.0
2005-11-15,Almaty,Oil (sunflower),166.0
2005-11-15,Kostanay,Potatoes,34.0
2005-11-15,Kostanay,Wheat flour (first grade),39.0
2005-11-15,Kostanay,Meat (beef),380.0
2005-11-15,Kostanay,Milk,50.0
2005-11-15,Kostanay,Oil (sunflower),173.0
2005-11-15,Aktau,Potatoes,55.0
2005-11-15,Aktau,Wheat flour (first grade),50.0
2005-11-15,Aktau,Meat (beef),534.0
2005-12-15,Nur-Sultan,Potatoes,42.0
2005-12-15,Nur-Sultan,Meat (beef),403.0
2005-12-15,Nur-Sultan,Milk,61.0
2005-12-15,Nur-Sultan,Oil (sunflower),184.0
2005-12-15,Almaty,Potatoes,53.0
2005-12-15,Almaty,Meat (beef),418.0
2005-12-15,Almaty,Milk,72.0
2005-12-15,Almaty,Oil (sunflower),167.0
2005-12-15,Kostanay,Potatoes,34.0
2005-12-15,Kostanay,Meat (beef),380.0
2005-12-15,Kostanay,Oil (sunflower),173.0
2005-12-15,Aktau,Potatoes,55.0
2005-12-15,Aktau,Wheat flour (first grade),54.0
2005-12-15,Aktau,Meat (beef),534.0
2005-12-15,Aktau,Oil (sunflower),192.0
2006-01-15,Nur-Sultan,Potatoes,48.0
2006-01-15,Nur-Sultan,Wheat flour (first grade),58.0
2006-01-15,Nur-Sultan,Meat (beef),487.0
2006-01-15,Nur-Sultan,Milk,65.0
2006-01-15,Nur-Sultan,Oil (sunflower),184.0
2006-01-15,Almaty,Potatoes,63.0
2006-01-15,Almaty,Wheat flour (first grade),54.0
2006-01-15,Almaty,Meat (beef),430.0
2006-01-15,Almaty,Milk,76.0
2006-01-15,Almaty,Oil (sunflower),170.0
2006-01-15,Kostanay,Potatoes,35.0
2006-01-15,Kostanay,Wheat flour (first grade),39.0
2006-01-15,Kostanay,Meat (beef),380.0
2006-01-15,Kostanay,Milk,53.0
2006-01-15,Aktau,Potatoes,60.0
2006-01-15,Aktau,Wheat flour (first grade),54.0
2006-01-15,Aktau,Meat (beef),535.0
2006-01-15,Aktau,Oil (sunflower),192.0
2006-02-15,Nur-Sultan,Potatoes,59.0
2006-02-15,Nur-Sultan,Meat (beef),487.0
2006-02-15,Nur-Sultan,Milk,68.0
2006-02-15,Nur-Sultan,Oil (sunflower),184.0
2006-02-15,Almaty,Potatoes,73.0
2006-02-15,Almaty,Wheat flour (first grade),54.0
2006-02-15,Almaty,Meat (beef),430.0
2006-02-15,Almaty,Milk,78.0
2006-02-15,Almaty,Oil (sunflower),170.0
2006-02-15,Kostanay,Potatoes,48.0
2006-02-15,Kostanay,Meat (beef),380.0
2006-02-15,Kostanay,Milk,55.0
2006-02-15,Aktau,Potatoes,65.0
2006-02-15,Aktau,Wheat flour (first grade),54.0
2006-02-15,Aktau,Meat (beef),535.0
2006-02-15,Aktau,Oil (sunflower),195.0
2006-03-15,Nur-Sultan,Potatoes,63.0
2006-03-15,Nur-Sultan,Wheat flour (first grade),58.0
2006-03-15,Nur-Sultan,Meat (beef),487.0
2006-03-15,Nur-Sultan,Milk,68.0
2006-03-15,Nur-Sultan,Oil (sunflower),184.0
2006-03-15,Almaty,Potatoes,77.0
2006-03-15,Almaty,Wheat flour (first grade),54.0
2006-03-15,Almaty,Meat (beef),423.0
2006-03-15,Almaty,Milk,76.0
2006-03-15,Almaty,Oil (sunflower),171.0
2006-03-15,Kostanay,Potatoes,53.0
2006-03-15,Kostanay,Wheat flour (first grade),39.0
2006-03-15,Kostanay,Meat (beef),380.0
2006-03-15,Kostanay,Milk,55.0
2006-03-15,Aktau,Potatoes,65.0
2006-03-15,Aktau,Wheat flour (first grade),54.0
2006-03-15,Aktau,Meat (beef),535.0
2006-04-15,Nur-Sultan,Potatoes,65.0
2006-04-15,Nur-Sultan,Meat (beef),487.0
2006-04-15,Nur-Sultan,Milk,60.0
2006-04-15,Nur-Sultan,Oil (sunflower),184.0
2006-04-15,Almaty,Potatoes,77.0
2006-04-15,Almaty,Wheat flour (first grade),54.0
2006-04-15,Almaty,Meat (beef),428.0
2006-04-15,Almaty,Milk,74.0
2006-04-15,Almaty,Oil (sunflower),171.0
2006-04-15,Kostanay,Potatoes,53.0
2006-04-15,Kostanay,Meat (beef),373.0
2006-04-15,Kostanay,Milk,50.0
2006-04-15,Aktau,Potatoes,73.0
2006-04-15,Aktau,Wheat flour (first grade),54.0
2006-04-15,Aktau,Meat (beef),549.0
2006-05-15,Nur-Sultan,Potatoes,69.0
2006-05-15,Nur-Sultan,Wheat flour (first grade),58.0
2006-05-15,Nur-Sultan,Meat (beef),487.0
2006-05-15,Nur-Sultan,Milk,59.0
2006-05-15,Nur-Sultan,Oil (sunflower),184.0
